"","deg","bet","clo","eig","pr"
"罗湖",1,0,0.000249687890137328,0.00250046802434433,0.00189151429950845
"国贸",2,281,0.000268528464017186,0.00963500741399871,0.00322937213561687
"老街",4,3935.16309523809,0.000290275761973875,0.034625928699786,0.00518848865489134
"大剧院",4,7155.43452380952,0.000297707651086633,0.0659530893071901,0.00487107041214927
"科学馆",3,1075.79642857143,0.000299850074962519,0.0941074171525317,0.00354524530553595
"华强路",2,711.70119047619,0.000301204819277108,0.178104336481134,0.00240544916282916
"岗厦",4,1038.33214285714,0.000310173697270471,0.592178744379571,0.00415026753438857
"会展中心",4,580.474999999999,0.000304599451720987,0.670964194894198,0.00406305639307181
"购物公园",4,1160.81428571429,0.000309693403530505,0.583730812987077,0.00430845245257879
"香蜜湖",2,334.785714285714,0.00030571690614491,0.320448522519855,0.00239790709353149
"车公庙",8,15770.6785714286,0.000332005312084993,0.65104758058719,0.00906663346342368
"竹子林",2,853.583333333333,0.000304785126485827,0.182282867629521,0.00272400750573169
"侨城东",2,591.083333333333,0.000282007896221094,0.0513396381079593,0.00292152131381978
"华侨城",2,426.416666666667,0.000269614451334592,0.015543214922326,0.00292891054591621
"世界之窗",4,574.5,0.000265181649429859,0.00855274586014009,0.00549756633258114
"白石洲",2,159.458333333333,0.000253164556962025,0.00258277469940134,0.00297337619683468
"高新园",2,140.958333333333,0.000246852628980499,0.00139941234989975,0.00302614637480504
"深大",2,304.458333333333,0.00026281208935611,0.0028095551505519,0.00292571846889727
"桃园",4,1436.775,0.000282007896221094,0.00942659479838369,0.00527329467170008
"大新",2,9.33333333333333,0.000265041081367612,0.00345621091629926,0.00282286117679348
"鲤鱼门",2,62.4166666666667,0.000269469145782808,0.00389115910955475,0.00278412921691421
"前海湾",6,10345.8428571429,0.000290782204129107,0.0115375208589509,0.00752034405817636
"新安",2,2750.82023809524,0.000276395798783858,0.00335566425398772,0.002731173912412
"宝安中心",4,3325.33690476191,0.000267665952890792,0.00139279844578819,0.00539652092063505
"宝体",2,1390.85595238095,0.000250187640730548,0.000389765247560541,0.00302139849518671
"坪洲",2,1162.10595238095,0.000236854571293226,0.000109076808525432,0.00318966272395994
"西乡",2,954.605952380951,0.000225988700564972,3.05384110372234e-05,0.00326244052149855
"固戍",2,755.272619047619,0.000216262975778547,8.59628862721902e-06,0.00326541816928697
"后瑞",2,559.939285714285,0.000207511931936086,2.58550970491113e-06,0.00319964660183895
"赤湾",2,54,0.000198491464867011,1.14797180885648e-05,0.00329650265407201
"蛇口港",2,256.866666666667,0.000206910821435961,3.54117851281973e-05,0.00320126905524686
"海上世界",4,1129.7,0.000219010074463425,0.000124971861748363,0.00602929075481369
"水湾",2,506.1,0.000223964165733483,0.000156425390452158,0.00317848723040327
"东角头",2,714.6,0.000236742424242424,0.000477779216078332,0.00324289836032204
"湾厦",2,963.266666666667,0.000251445813427206,0.00168459246874515,0.00323061210713453
"海月",2,1219.43333333333,0.000268889486421081,0.00601342993672899,0.00313729214618633
"登良",2,1479.43333333333,0.000289100896212778,0.0214868464218355,0.00293000202067211
"后海",4,12853.5595238095,0.000312793243665937,0.0767814398885396,0.00507116101964394
"科苑",2,535.875,0.000288683602771363,0.0219828215071645,0.002823786487564
"红树湾",2,289.208333333333,0.000269832703723691,0.00792456160399254,0.00288737324475468
"侨城北",2,133.916666666667,0.000259672812256557,0.00690558697328986,0.00292454046122844
"深康",2,266.583333333333,0.000266453503863576,0.0180564253181666,0.00291123876161902
"安托山",4,1601.66666666666,0.000286123032904149,0.0626709043543558,0.00540836669989423
"侨香",2,104.238095238095,0.000265745415891576,0.020670610520163,0.00293676904982226
"香蜜",2,63.9166666666666,0.000262123197903014,0.0169787786948297,0.00298461172758879
"香梅北",2,254.011904761904,0.000279563880346659,0.044753404909198,0.00286459703422298
"景田",4,867.678571428571,0.000300480769230769,0.1554686927,0.00506873368530886
"莲花西",2,347.566666666667,0.000308641975308642,0.299866143852632,0.00244530637759345
"福田",6,14444.1357142857,0.000336473755047106,1,0.00599413643008755
"市民中心",4,382.555952380953,0.000322997416020672,0.822041988323396,0.00394933944665745
"岗厦北",5,9057.75952380953,0.00033003300330033,0.845300487990387,0.00493063760724651
"华强北",4,7381.54761904761,0.00032051282051282,0.345619276882054,0.00446732240697312
"燕南",2,6208.14523809523,0.000305530094714329,0.106810871765883,0.00250343961593166
"湖贝",2,3756.59523809524,0.000282885431400283,0.0185916074609951,0.00277891158692278
"黄贝岭",3,3869.09523809524,0.000270929287455974,0.005685609520727,0.00432274582049317
"新秀",2,837,0.000252143217347453,0.0015910198035939,0.00324790154036708
"莲塘口岸",2,560,0.000235682300259251,0.00044503780377375,0.00353904097888116
"仙湖路",2,281,0.000221141088014153,0.000123836174216326,0.00385800395848437
"福保",1,0,0.0002465483234714,0.0186215045185905,0.00186169819290548
"益田",2,281,0.000264900662251656,0.0717539006096573,0.00315921659067373
"石厦",4,807.625,0.00028604118993135,0.257866479981293,0.00497760934039839
"少年宫",4,5340.14642857142,0.000329924117452986,0.651294580022197,0.004138969884403
"莲花村",4,3152.56428571429,0.000323206205559147,0.497340801987115,0.00419748067214323
"华新",4,2198.98333333333,0.000314663310258024,0.271114441016576,0.00436433416236299
"通新岭",4,1960.95119047619,0.000305997552019584,0.118564952562091,0.00455903909120981
"红岭",4,1976.50952380952,0.000292568753657109,0.0480765364316207,0.00496602316119206
"晒布",2,3222.95476190476,0.000275938189845475,0.00975882057302196,0.00283903993188009
"翠竹",2,3122.20476190476,0.000269323996768112,0.00297755499107413,0.00286459988434681
"田贝",4,4155.22142857143,0.000268528464017186,0.00171453726850094,0.00535989068907276
"水贝",2,3661.03452380952,0.000257201646090535,0.000482235931102129,0.00291994580184
"草埔",2,3555.03452380952,0.00025025025025025,0.000143653568666242,0.00296926562009935
"布吉",4,9434.2630952381,0.000248077400148846,7.13017209180279e-05,0.00569062358798825
"木棉湾",2,8645,0.000235737859500236,1.99532490327925e-05,0.00311571327547873
"大芬",2,8432,0.000224466891133558,5.58376631589926e-06,0.00326452852037927
"丹竹头",2,8217,0.000214132762312634,1.56257493633695e-06,0.00334428055630791
"六约",2,8000,0.000204624514016779,4.37274925296715e-07,0.00338311716065147
"塘坑",2,7781,0.000195848021934978,1.22368484893449e-07,0.00339474537023736
"横岗",2,7560,0.00018772292096865,3.42453053707352e-08,0.0033832692590374
"永湖",2,7337,0.00018018018018018,9.58832012496778e-09,0.00334463843486373
"荷坳",2,7112,0.000173160173160173,2.70119231411358e-09,0.00326521848918492
"大运",3,6924,0.000166611129623459,8.20134662557181e-10,0.00467546827940757
"爱联",2,5025.5,0.000160179400929041,2.29509215750136e-10,0.00324767107917155
"吉祥",2,4784.5,0.000154225786551511,6.42291986265014e-11,0.00330335041130431
"龙城广场",2,4543.5,0.000148698884758364,1.7984110660427e-11,0.00330366837832477
"南联",2,4302.5,0.000143554407120299,5.06878056697109e-12,0.00324873720388725
"牛湖",1,0,0.000150375939849624,7.57581317669322e-10,0.00222195264678279
"观澜湖",2,281,0.00015701051970482,2.91917423364713e-09,0.00400687412921541
"松元厦",2,560,0.000164203612479475,1.04908192283195e-08,0.00376278408843096
"观澜",2,837,0.000172028212626871,3.75049065606194e-08,0.00362548574505181
"长湖",2,1112,0.000180570603105814,1.34026147119521e-07,0.00354652086023726
"茜坑",2,1385,0.000189933523266857,4.78935579372557e-07,0.00349801947464023
"竹村",2,1656,0.000200240288346015,1.7114475057704e-06,0.00346286345216698
"清湖北",2,1925,0.000211640211640212,6.11575359352509e-06,0.00342864478488523
"清湖",2,2192,0.000224315836698071,2.18542732483243e-05,0.00338328629610684
"龙华",2,2457,0.000238492725971858,7.80949152595604e-05,0.00331077910743905
"龙胜",2,2720,0.000254452926208651,0.000279067426287987,0.00318553244641054
"上塘",2,2981,0.000272553829381303,0.000997230461874922,0.00296334160912858
"红山",4,7116.86666666666,0.000293255131964809,0.00356354235719453,0.00513157260016325
"深圳北站",6,10638.6821428571,0.0003125,0.00586843562485088,0.00739327130443481
"白石龙",2,3497.23333333333,0.000306654400490647,0.00753630993927199,0.00272424795159541
"民乐",2,3518.35,0.000309789343246592,0.0231710887490385,0.00272432166650427
"上梅林",4,4702.60952380952,0.000318877551020408,0.0817484198448444,0.00492934185979641
"莲花北",2,3916.74047619048,0.000320615581917281,0.190238627006545,0.0024460473875119
"福民",6,742.679761904762,0.000290444379901249,0.587462436569696,0.00640455968157725
"怡景",2,2932.72857142857,0.000264131008980454,0.0017256272509516,0.00292310376358916
"太安",3,3018.65714285714,0.00026267402153927,0.000963718203060718,0.00416221637381094
"布心",2,2769.50952380952,0.000251952632905014,0.000273313093975941,0.00296915143762175
"百鸽笼",2,2681.16190476191,0.000248508946322068,8.94341112914064e-05,0.00299017801530678
"长龙",2,3614.2630952381,0.000242954324586978,2.17046798269319e-05,0.00309329590351122
"下水径",2,3638.77738095238,0.000244558571777941,1.2332522357836e-05,0.00321178176280865
"上水径",2,3767.44166666667,0.000252716704574172,2.5816001579297e-05,0.00324258791046213
"杨美",2,3916.775,0.000262329485834208,8.71438013523053e-05,0.00319658710446716
"坂田",2,4079.65,0.000273897562311695,0.000309973604182202,0.00305754376623743
